timestamp,asset,mode,signal,confidence,amount,result,pnl,state_key
2026-05-31 23:54:38,GBPUSD-OTC,ftt,BUY,0.4680,200.0,WIN,164.0000,
2026-05-31 23:54:58,USDCAD-OTC,ftt,BUY,0.4935,200.0,WIN,164.0000,
2026-05-31 23:55:05,USDCAD-OTC,ftt,BUY,0.4060,200.0,WIN,164.0000,
2026-05-31 23:55:12,USDCAD-OTC,ftt,BUY,0.4903,200.0,WIN,164.0000,
2026-05-31 23:55:20,USDCAD-OTC,ftt,BUY,0.4445,200.0,LOSS,-200.0000,
2026-05-31 23:55:28,USDCAD-OTC,ftt,BUY,0.4053,200.0,WIN,164.0000,
2026-05-31 23:55:36,USDCAD-OTC,ftt,BUY,0.4059,200.0,WIN,164.0000,
2026-05-31 23:55:44,USDCAD-OTC,ftt,BUY,0.4000,200.0,WIN,164.0000,
2026-05-31 23:55:51,USDCAD-OTC,ftt,BUY,0.4045,200.0,WIN,164.0000,
2026-05-31 23:55:59,USDCAD-OTC,ftt,BUY,0.4445,200.0,WIN,164.0000,
2026-05-31 23:56:06,USDCAD-OTC,ftt,BUY,0.4460,200.0,WIN,164.0000,
2026-05-31 23:56:13,USDCAD-OTC,ftt,BUY,0.4460,200.0,WIN,164.0000,
2026-05-31 23:56:20,USDCAD-OTC,ftt,BUY,0.4445,200.0,WIN,164.0000,
2026-05-31 23:56:27,USDCAD-OTC,ftt,BUY,0.4060,200.0,WIN,164.0000,
2026-05-31 23:56:34,USDCAD-OTC,ftt,BUY,0.4643,200.0,WIN,164.0000,
2026-05-31 23:56:41,USDCAD-OTC,ftt,BUY,0.4243,200.0,WIN,164.0000,
2026-05-31 23:57:00,USDCAD,ftt,BUY,0.5557,200.0,LOSS,-200.0000,
2026-05-31 23:57:07,USDCAD,ftt,BUY,0.5557,200.0,LOSS,-200.0000,
2026-05-31 23:57:14,USDCAD,ftt,BUY,0.5957,200.0,LOSS,-200.0000,
2026-05-31 23:57:21,USDCAD,ftt,BUY,0.5957,200.0,LOSS,-200.0000,
2026-05-31 23:57:28,USDCAD,ftt,BUY,0.5957,200.0,LOSS,-200.0000,
2026-05-31 23:57:34,USDCAD,ftt,BUY,0.5957,200.0,LOSS,-200.0000,
2026-05-31 23:57:41,USDCAD,ftt,BUY,0.5957,200.0,LOSS,-200.0000,
2026-05-31 23:57:48,USDCAD,ftt,BUY,0.5557,200.0,WIN,164.0000,
2026-05-31 23:57:55,USDCAD,ftt,BUY,0.5557,200.0,LOSS,-200.0000,
2026-05-31 23:58:02,USDCAD,ftt,BUY,0.4449,200.0,LOSS,-200.0000,
2026-05-31 23:58:09,USDCAD,ftt,BUY,0.4449,200.0,LOSS,-200.0000,
2026-05-31 23:58:16,USDCAD,ftt,BUY,0.4449,200.0,LOSS,-200.0000,
2026-05-31 23:58:23,USDCAD,ftt,BUY,0.5031,200.0,LOSS,-200.0000,
2026-05-31 23:58:30,USDCAD,ftt,BUY,0.5031,200.0,PENDING,0.0,
2026-05-31 23:58:37,USDCAD,ftt,BUY,0.5243,200.0,PENDING,0.0,
2026-05-31 23:58:44,USDCAD,ftt,BUY,0.5643,200.0,PENDING,0.0,
2026-05-31 23:59:00,USDCAD,ftt,BUY,0.5643,200.0,PENDING,0.0,
2026-05-31 23:59:08,USDCAD,ftt,BUY,0.5240,200.0,PENDING,0.0,
2026-05-31 23:59:15,USDCAD,ftt,BUY,0.4815,200.0,PENDING,0.0,
2026-05-31 23:59:23,USDCAD,ftt,BUY,0.4332,200.0,PENDING,0.0,
