timestamp,asset,mode,signal,confidence,amount,result,pnl,state_key
2026-05-26 20:15:21,EUR/USD OTC,ftt,BUY,0.6244,200.0,WIN,164.0000,5NL|15BL|30BL|60BM
2026-05-26 20:15:28,EUR/USD OTC,ftt,BUY,0.6545,200.0,WIN,164.0000,5NL|15BM|30NL|60BM
2026-05-26 20:15:35,EUR/USD OTC,ftt,BUY,0.6676,200.0,WIN,164.0000,5NL|15BM|30NL|60BM
2026-05-26 20:15:52,EUR/USD OTC,ftt,BUY,0.6545,200.0,WIN,164.0000,5NL|15BM|30NL|60BM
2026-05-26 20:15:59,EUR/USD OTC,ftt,BUY,0.6324,200.0,WIN,164.0000,5NL|15BM|30BL|60BL
2026-05-26 20:16:06,EUR/USD OTC,ftt,BUY,0.6545,200.0,WIN,164.0000,5NL|15BM|30NL|60BM
2026-05-26 20:16:12,EUR/USD OTC,ftt,BUY,0.6545,200.0,WIN,164.0000,5NL|15BM|30NL|60BM
2026-05-26 20:16:19,EUR/USD OTC,ftt,BUY,0.6324,200.0,WIN,164.0000,5NL|15NL|30BL|60BL
2026-05-26 20:16:26,EUR/USD OTC,ftt,BUY,0.6532,200.0,LOSS,-200.0000,5NL|15BM|30NL|60NL
2026-05-26 20:16:33,EUR/USD OTC,ftt,BUY,0.6292,200.0,LOSS,-200.0000,5NL|15BL|30NL|60BM
2026-05-26 20:16:40,EUR/USD OTC,ftt,BUY,0.6324,200.0,LOSS,-200.0000,5NL|15NL|30BM|60BL
2026-05-26 20:16:47,EUR/USD OTC,ftt,BUY,0.6181,200.0,LOSS,-200.0000,5BL|15NL|30BM|60BL
2026-05-26 20:16:54,EUR/USD OTC,ftt,BUY,0.6404,200.0,LOSS,-200.0000,5NL|15BL|30BM|60BM
2026-05-26 20:17:00,EUR/USD OTC,ftt,BUY,0.6868,200.0,WIN,164.0000,5NL|15NL|30BM|60BM
2026-05-26 20:17:07,EUR/USD OTC,ftt,BUY,0.6733,200.0,WIN,164.0000,5NL|15NL|30BM|60BM
2026-05-26 20:17:14,EUR/USD OTC,ftt,BUY,0.6292,200.0,LOSS,-200.0000,5NL|15NL|30BM|60BL
2026-05-26 20:17:21,EUR/USD OTC,ftt,BUY,0.6292,200.0,LOSS,-200.0000,5NL|15NL|30BM|60BL
2026-05-26 20:17:28,EUR/USD OTC,ftt,BUY,0.6292,200.0,LOSS,-200.0000,5NL|15NL|30BM|60BL
2026-05-26 20:17:35,EUR/USD OTC,ftt,BUY,0.6868,200.0,LOSS,-200.0000,5NL|15NL|30BM|60BM
